onet_soc_code,spe_ocupacion,similarity_score
15-1244.00,"Auxiliares técnicos de instalación, mantenimiento y reparación de sistemas de Telecomunicaciones",0.4614933786897385
15-1251.00,Desarrolladores de Aplicaciones Informáticas y Digitales,0.3991744763128477
15-1251.00,Analistas de Sistemas Informáticos,0.39639635649278737
15-1251.00,Operadores de Máquinas de Planta Química,0.3787935091411154
15-1252.00,Desarrolladores de Aplicaciones Informáticas y Digitales,0.43486639658578685
15-1252.00,Analistas de Sistemas Informáticos,0.41033942879277446
15-1252.00,Ingenieros en Construcción y Obras Civiles,0.34335793907171464
15-1253.00,"Analistas de Calidad, Textiles",0.45807742396939416
15-1253.00,Analistas de Sistemas Informáticos,0.414475740649929
15-1253.00,"Evaluadores, Ajustadores, Analistas y Liquidadores de Seguros",0.3686792823941496
15-1254.00,Desarrolladores de Aplicaciones Informáticas y Digitales,0.4284207978314677
15-1254.00,Arquitectos,0.34425140943389804
15-1254.00,"Evaluadores, Ajustadores, Analistas y Liquidadores de Seguros",0.33804064408321455
15-1255.00,Diseñadores Gráficos,0.45352331376976585
15-1255.00,Desarrolladores de Aplicaciones Informáticas y Digitales,0.4389750660107766
15-1255.00,Diseñadores Industriales,0.4281659258840592
15-1255.01,Diseñadores Gráficos,0.4823298909346098
