esco_uri,spe_ocupacion,similarity_score
http://data.europa.eu/esco/occupation/03b9d7c4-9590-4e0d-97a7-470254e165d4,Vendedores de Ventas Técnicas,0.49097163457923815
http://data.europa.eu/esco/occupation/03d79393-7b30-4159-945b-01963eddd302,Profesores de Educación Básica Primaria,0.5222531297782551
http://data.europa.eu/esco/occupation/03d79393-7b30-4159-945b-01963eddd302,Profesores de Preescolar,0.44977515424332015
http://data.europa.eu/esco/occupation/03d79393-7b30-4159-945b-01963eddd302,Profesores de Educación Básica Secundaria y Media,0.4487779189428462
http://data.europa.eu/esco/occupation/03e02554-15d1-4697-960c-8909e7d36f7e,"Conductores de Bus, Operadores de Metro y Otros Medios de Transporte Colectivo",0.5544788640559661
http://data.europa.eu/esco/occupation/03e02554-15d1-4697-960c-8909e7d36f7e,Conductores de Transporte de Alimentos,0.49733807288673837
http://data.europa.eu/esco/occupation/03e02554-15d1-4697-960c-8909e7d36f7e,Operarios de Rampa de Transporte Aéreo,0.43304360233514466
http://data.europa.eu/esco/occupation/040f62f5-d570-4d3f-b732-c8ea4afc2738,Contratistas y Supervisores de Moldeo de Forja y Montaje de Estructuras Metálicas,0.530317286395909
http://data.europa.eu/esco/occupation/040f62f5-d570-4d3f-b732-c8ea4afc2738,"Contratistas y Supervisores de Ajustadores de Máquinas y Herramientas, y de Ocupaciones Relacionadas",0.48918736025881926
http://data.europa.eu/esco/occupation/040f62f5-d570-4d3f-b732-c8ea4afc2738,Contratistas y Supervisores de Operación de Equipo Pesado,0.4806665629846676
http://data.europa.eu/esco/occupation/040fcfa5-24be-43eb-afd5-828297175b16,Operadores de Máquinas para la Preparación de Fibras Textiles,0.45983659895385137
http://data.europa.eu/esco/occupation/040fcfa5-24be-43eb-afd5-828297175b16,"Operadores de Máquinas de Tintura, Acabado Textil y Prendas",0.4587467160237452
http://data.europa.eu/esco/occupation/040fcfa5-24be-43eb-afd5-828297175b16,"Mecánicos de Maquinaria Textil, confección, cuero, calzado y marroquinería",0.43545712052776464
http://data.europa.eu/esco/occupation/044d78cc-f62f-4532-83a5-8e04f2889652,Supervisores de Empleados de Apoyo Administrativo,0.5175642913427247
http://data.europa.eu/esco/occupation/044d78cc-f62f-4532-83a5-8e04f2889652,Asistentes Administrativos,0.5009930202337218
http://data.europa.eu/esco/occupation/044d78cc-f62f-4532-83a5-8e04f2889652,Auxiliares Administrativos,0.48099119410960756
http://data.europa.eu/esco/occupation/0458929a-f6c9-40ed-8ce3-caa9f03a6b5b,Operadores de Máquinas para la Producción de Pulpa,0.48864733107978053
http://data.europa.eu/esco/occupation/0458929a-f6c9-40ed-8ce3-caa9f03a6b5b,Operadores de Máquinas para el Trabajo de la Madera,0.47267316529530057
http://data.europa.eu/esco/occupation/0458929a-f6c9-40ed-8ce3-caa9f03a6b5b,Operadores de Máquinas para Procesamiento de la Madera,0.4648767009015253
