periodo,ano,mes,DPTO,empleo,informales,tasa_informalidad
2025-05,2025,5,88,21675.504068589,5625.182592286001,25.95
2025-05,2025,5,91,16189.446981877,11549.151529768998,71.34
2025-05,2025,5,94,8786.267062386,6159.595048986,70.1
2025-05,2025,5,95,25452.678722262,15805.490914453,62.1
2025-05,2025,5,97,5032.993668094,2149.3052592100003,42.7
2025-05,2025,5,99,7347.431249110001,3888.6491222709997,52.93
2025-06,2025,6,5,3357737.7151034074,1445829.142867736,43.06
2025-06,2025,6,8,1234653.439823566,685522.87783382,55.52
2025-06,2025,6,11,4318880.155948721,1525338.73991916,35.32
2025-06,2025,6,13,928249.3029133199,625244.44296853,67.36
2025-06,2025,6,15,589555.194391527,343071.29588255,58.19
2025-06,2025,6,17,515213.350048338,254147.510744277,49.33
2025-06,2025,6,18,161858.82828813102,122462.548091806,75.66
2025-06,2025,6,19,700079.369864753,559827.567862945,79.97
2025-06,2025,6,20,570034.571447733,400335.89471032296,70.23
2025-06,2025,6,23,812953.217146783,658129.7296313059,80.96
2025-06,2025,6,25,1727798.231012292,717561.030717565,41.53
2025-06,2025,6,27,132542.925193418,90681.72811562801,68.42
2025-06,2025,6,41,473847.755666611,358052.67684422503,75.56
2025-06,2025,6,44,360091.252099742,296068.34329874197,82.22
2025-06,2025,6,47,586247.991304855,418721.94660538295,71.42
2025-06,2025,6,50,524238.84831587994,328004.8923536,62.57
2025-06,2025,6,52,917477.9371115039,745727.0621588691,81.28
2025-06,2025,6,54,692805.2237859799,487071.16275716,70.3
2025-06,2025,6,63,263023.69530861196,131603.074930553,50.03
2025-06,2025,6,66,459822.82829348405,225704.568492559,49.09
2025-06,2025,6,68,1075772.32584947,601189.11989755,55.88
2025-06,2025,6,70,418266.751864758,345000.530232187,82.48
2025-06,2025,6,73,582285.37132701,414460.28783916996,71.18
2025-06,2025,6,76,2126977.92379651,1085628.2112729358,51.04
2025-06,2025,6,81,37074.21102433,24984.720819010003,67.39
2025-06,2025,6,85,84416.96648331001,36907.53891231001,43.72
2025-06,2025,6,86,17886.371220795998,7667.086040030998,42.87
2025-06,2025,6,88,20680.459097789,4872.757204067,23.56
2025-06,2025,6,91,16332.692069518998,10170.587160041998,62.27
2025-06,2025,6,94,9197.401691134999,6548.680056405001,71.2
2025-06,2025,6,95,24343.570848657,14381.647516172998,59.08
2025-06,2025,6,97,4669.037035630001,2192.3951440409996,46.96
2025-06,2025,6,99,7937.744878277,4564.129687483,57.5
2025-07,2025,7,5,3513995.04220728,1637326.09706087,46.59
2025-07,2025,7,8,1239857.39204674,779510.683079131,62.87
2025-07,2025,7,11,4377197.6677318495,1333726.69952112,30.47
2025-07,2025,7,13,799988.912187889,530919.6904878491,66.37
2025-07,2025,7,15,579370.3881827621,336205.909235454,58.03
2025-07,2025,7,17,484854.347107728,243584.628915123,50.24
2025-07,2025,7,18,152102.826809936,113582.363550223,74.67
2025-07,2025,7,19,726599.920739644,585358.070477352,80.56
