uri,nombre,definicion,tipo_habilidad,nivel_reutilizacion
http://data.europa.eu/esco/skill/0ced619a-0f59-4802-88ea-e97bf1b57f95,optimizar el uso de la flota,"Optimizar la utilización, la visibilidad, la eficiencia y la rentabilidad de la flota mediante el uso de un software especial de gestión naviera.",skill/competence,sector-specific
http://data.europa.eu/esco/skill/0d168770-4d9c-4096-b048-a6577818d306,Apache Maven,"La herramienta Apache Maven es un programa de software para realizar la identificación de la configuración, el control, la contabilidad de estado y la auditoría de software durante su desarrollo y mantenimiento.",knowledge,sector-specific
http://data.europa.eu/esco/skill/0d6714c6-720e-4985-9791-5ab85d28da79,extraer datos,Extraer datos exportables de múltiples fuentes.,skill/competence,cross-sector
http://data.europa.eu/esco/skill/0d7f2cce-245a-4d02-9b8d-2e9946cc4c5d,proporcionar formación en línea,"Impartir formación utilizando tecnologías en línea, adaptando los materiales de aprendizaje, utilizando métodos de aprendizaje electrónico, apoyando a las personas en formación y comunicándose en línea. Enseñar en las aulas virtuales.",skill/competence,cross-sector
http://data.europa.eu/esco/skill/0da6cab1-0ee9-4391-a299-f71fbf21db56,enrutado de red de TIC,Los procesos y técnicas para elegir las mejores rutas dentro de una red de TIC a través de las cuales puede viajar un paquete.,knowledge,sector-specific
http://data.europa.eu/esco/skill/0daaf096-1639-461c-bf1a-bbeea77e6b67,política de gestión de riesgos internos,"Las políticas internas de gestión de riesgos que identifican, evalúan y priorizan los riesgos en un entorno de TI. Los métodos utilizados para minimizar, supervisar y controlar la posibilidad y el impacto de acontecimientos catastróficos que afecten a la consecución de los objetivos empresariales.",knowledge,sector-specific
http://data.europa.eu/esco/skill/0dc7aa1b-b5af-4f4b-81ce-ee22ed8b6926,evaluar los conocimientos de TIC,Evaluar el dominio implícito de expertos cualificados en un sistema de TIC para hacerlo explícito de cara a un posterior análisis y uso.,skill/competence,sector-specific
http://data.europa.eu/esco/skill/0dcbf7c5-bedf-4485-b16b-23df54443864,convertir los conceptos de los requisitos en contenido,Desarrollar contenidos digitales siguiendo unos requisitos y directrices determinados.,skill/competence,sector-specific
http://data.europa.eu/esco/skill/0de61385-de6d-4146-ba32-1cc1bc102220,Lisp,"Las técnicas y principios de desarrollo de software, como análisis, algoritmos, codificación, pruebas y compilación de paradigmas de programación en Lisp.",knowledge,sector-specific
http://data.europa.eu/esco/skill/0df2e216-68ae-4952-b9dc-3c2f2bc04fe3,mantener la base de datos de profesionales independientes,Mantener una base de datos de colaboradores independientes que ofrezca apoyo adicional a los equipos y pueda calcular los costos de negociación.,skill/competence,cross-sector
http://data.europa.eu/esco/skill/0e361e34-c563-4892-b9d3-873a6a4fef8a,géneros de juegos digitales,"La clasificación de los videojuegos en función de su interacción con los medios de juego, como los juegos de simulación, los juegos de estrategia, los juegos de aventura y los juegos arcade.",knowledge,sector-specific
http://data.europa.eu/esco/skill/0e44ceb3-9dd4-4ec4-b1d7-a0e83ddba7d4,ingeniería automotriz,"La disciplina de la ingeniería que combina la ingeniería mecánica, eléctrica, electrónica, de software y de seguridad para el diseño de vehículos de motor, como camiones, furgonetas y automóviles.",skill/competence,cross-sector
http://data.europa.eu/esco/skill/0e5affa0-705e-4b19-94e8-19e902e0287d,analizar aplicaciones descentralizadas,"Analizar aplicaciones descentralizadas por sus requisitos específicos de rendimiento en términos de funciones y propiedades clave, como gestión de identidades, control de acceso, seguridad de datos, transparencia, rendimiento, escalabilidad y mantenimiento.
	",skill/competence,cross-sector
