rama_ciiu,empleo,periodo,ano,mes,salario_promedio
11,95921.961821983,2025-10,2025,10,3228910.0
12,7402.35992046,2025-10,2025,10,1106801.0
13,63162.703754442,2025-10,2025,10,1044160.0
14,454270.019231765,2025-10,2025,10,1630700.0
15,231816.029571892,2025-10,2025,10,954238.0
16,41437.751554876,2025-10,2025,10,864576.0
17,41367.64361265,2025-10,2025,10,2345903.0
18,43187.485955203,2025-10,2025,10,1463686.0
19,13216.39646379,2025-10,2025,10,2595437.0
20,89029.932761455,2025-10,2025,10,2348755.0
21,56757.396308564,2025-10,2025,10,4338365.0
22,102743.61871468699,2025-10,2025,10,1775544.0
23,104737.611013119,2025-10,2025,10,3441095.0
24,9633.94522186,2025-10,2025,10,2131465.0
25,221912.511700866,2025-10,2025,10,1682031.0
26,14091.53219803,2025-10,2025,10,5872115.0
27,50703.906697687,2025-10,2025,10,1849853.0
28,27213.934531783,2025-10,2025,10,2293895.0
29,42293.73091252,2025-10,2025,10,1987121.0
30,27698.12842387,2025-10,2025,10,2122345.0
31,163467.540007326,2025-10,2025,10,1679543.0
32,95354.479141843,2025-10,2025,10,1387478.0
33,101849.933885008,2025-10,2025,10,1940717.0
35,77112.471141863,2025-10,2025,10,3863849.0
36,55172.292003065,2025-10,2025,10,2916249.0
37,10572.8014266,2025-10,2025,10,2119652.0
38,157582.593402174,2025-10,2025,10,998733.0
39,1163.172098411,2025-10,2025,10,1884823.0
41,1007445.073448435,2025-10,2025,10,1536948.0
42,224182.394233689,2025-10,2025,10,2306635.0
43,293476.242119105,2025-10,2025,10,1779538.0
45,535905.941980435,2025-10,2025,10,1564530.0
46,434928.236817916,2025-10,2025,10,2371472.0
47,3066850.065020637,2025-10,2025,10,1429359.0
49,1382694.645952381,2025-10,2025,10,1501934.0
50,26214.931370899,2025-10,2025,10,2826333.0
51,10257.076305178,2025-10,2025,10,2114590.0
52,285044.65790905,2025-10,2025,10,1427116.0
53,204029.382541903,2025-10,2025,10,1213762.0
55,135328.052718077,2025-10,2025,10,1748745.0
56,1824954.9593716413,2025-10,2025,10,1199530.0
58,13293.889936610001,2025-10,2025,10,4733679.0
59,42867.900484483,2025-10,2025,10,1818641.0
60,4840.000471376,2025-10,2025,10,2224956.0
61,126781.91272956101,2025-10,2025,10,2420281.0
62,183587.031813942,2025-10,2025,10,5883200.0
63,22208.765920918,2025-10,2025,10,3846778.0
64,261905.783016896,2025-10,2025,10,3458733.0
65,142193.726740098,2025-10,2025,10,3467921.0
66,36996.156072674,2025-10,2025,10,5026256.0
68,303423.598080113,2025-10,2025,10,2061987.0
69,243871.551940064,2025-10,2025,10,3998406.0
70,47389.103130436,2025-10,2025,10,5124633.0
71,167151.410027811,2025-10,2025,10,4716876.0
72,12474.705767443,2025-10,2025,10,8507600.0
73,117014.047147648,2025-10,2025,10,2840771.0
74,111995.931933548,2025-10,2025,10,2542994.0
75,35789.013553202,2025-10,2025,10,1962967.0
77,69563.295915014,2025-10,2025,10,1964403.0
78,22563.266221059,2025-10,2025,10,1720618.0
79,43444.822545421,2025-10,2025,10,2035770.0
80,106608.319473107,2025-10,2025,10,2893334.0
81,491896.446399724,2025-10,2025,10,760206.0
82,341446.512356519,2025-10,2025,10,2457872.0
84,824595.491402298,2025-10,2025,10,4150118.0
85,1101386.555881713,2025-10,2025,10,3424039.0
86,781475.836148672,2025-10,2025,10,3087922.0
87,31430.274379552,2025-10,2025,10,1541296.0
88,154751.259049593,2025-10,2025,10,1522875.0
90,66497.914532958,2025-10,2025,10,1994253.0
91,8723.943412661,2025-10,2025,10,1795808.0
92,84363.579634213,2025-10,2025,10,1442343.0
93,120563.897220992,2025-10,2025,10,1519910.0
