ies,rango_modal,graduados_rango_modal,total_graduados
CORPORACION UNIVERSITARIA DEL HUILA-CORHUILA-,"Entre 1 y 1,5 SMMLV",1312,4065
UNIDAD CENTRAL DEL VALLE DEL CAUCA,"Entre 1 y 1,5 SMMLV",1005,4026
FUNDACION UNIVERSITARIA DE SAN GIL - UNISANGIL -,"Entre 1 y 1,5 SMMLV",1097,3963
UNIVERSIDAD EIA,Más de 9 SMMLV,1034,3906
INSTITUCION UNIVERSITARIA ESCOLME,"Entre 1,5 y 2,5 SMMLV",1161,3891
CORPORACION UNIVERSITARIA DEL META - UNIMETA,"Entre 1 y 1,5 SMMLV",943,3862
FUNDACION UNIVERSITARIA MONSERRATE -UNIMONSERRATE,"Entre 1,5 y 2,5 SMMLV",1110,3848
INSTITUCION UNIVERSITARIA SALAZAR Y HERRERA,"Entre 1,5 y 2,5 SMMLV",1060,3754
ESCUELA TECNOLOGICA INSTITUTO TECNICO CENTRAL,"Entre 1,5 y 2,5 SMMLV",1071,3603
FUNDACION ACADEMIA DE DIBUJO PROFESIONAL,"Entre 1 y 1,5 SMMLV",1877,3585
INSTITUTO UNIVERSITARIO DE LA PAZ,"Entre 1 y 1,5 SMMLV",1057,3544
FUNDACION CENTRO DE INVESTIGACION DOCENCIA Y CONSULTORIA ADMINISTRATIVA-F-CIDCA-,"Entre 1 y 1,5 SMMLV",1063,3421
INSTITUCION UNIVERSITARIA DE ENVIGADO,"Entre 2,5 y 4 SMMLV",819,3264
FUNDACION DE EDUCACION SUPERIOR SAN JOSE -FESSANJOSE-,"Entre 1,5 y 2,5 SMMLV",1025,3233
INSTITUTO TOLIMENSE DE FORMACION TECNICA PROFESIONAL,"Entre 1 y 1,5 SMMLV",1517,3213
FUNDACION UNIVERSITARIA JUAN N CORPAS,Entre 4 y 6 SMMLV,923,2964
CORPORACION INTERNACIONAL PARA EL DESARROLLO EDUCATIVO -CIDE-,"Entre 1 y 1,5 SMMLV",1125,2782
FUNDACION UNIVERSITARIA DE POPAYAN,"Entre 1 y 1,5 SMMLV",885,2737
INSTITUCION UNIVERSITARIA MAYOR DE CARTAGENA,"Entre 1 y 1,5 SMMLV",1248,2680
INSTITUTO DE EDUCACION TECNICA PROFESIONAL DE ROLDANILLO,"Entre 1 y 1,5 SMMLV",1285,2655
INSTITUCION UNIVERSITARIA EAM,"Entre 1 y 1,5 SMMLV",981,2557
FUNDACION UNIVERSITARIA HORIZONTE,"Entre 1,5 y 2,5 SMMLV",872,2510
CORPORACION UNIVERSITARIA DE ASTURIAS,"Entre 2,5 y 4 SMMLV",641,2382
CORPORACION UNIVERSITARIA ADVENTISTA - UNAC,"Entre 2,5 y 4 SMMLV",686,2337
ESCUELA NACIONAL DEL DEPORTE,"Entre 1 y 1,5 SMMLV",793,2334
INSTITUCION UNIVERSITARIA MARCO FIDEL SUAREZ - IUMAFIS,"Entre 1,5 y 2,5 SMMLV",791,2323
CORPORACION UNIVERSITARIA CENTRO SUPERIOR - UNICUCES,"Entre 1,5 y 2,5 SMMLV",776,2276
CORPORACION ESCUELA DE ARTES Y LETRAS,"Entre 1 y 1,5 SMMLV",634,2161
TECNOLOGICA FITEC,"Entre 1 y 1,5 SMMLV",1115,2160
CORPORACION UNIVERSAL DE INVESTIGACION Y TECNOLOGIA -CORUNIVERSITEC-,"Entre 1 y 1,5 SMMLV",790,2099
INSTITUCION UNIVERSITARIA DE COLOMBIA - UNIVERSITARIA DE COLOMBIA,"Entre 2,5 y 4 SMMLV",451,1996
CORPORACION UNIVERSITARIA COMFACAUCA - UNICOMFACAUCA,"Entre 1 y 1,5 SMMLV",750,1993
FUNDACION UNIVERSITARIA CLARETIANA - UNICLARETIANA,"Entre 2,5 y 4 SMMLV",699,1983
CORPORACION TECNOLOGICA INDUSTRIAL COLOMBIANA - TEINCO,"Entre 1,5 y 2,5 SMMLV",554,1982
INSTITUCION UNIVERSITARIA COLEGIOS DE COLOMBIA - UNICOC,"Entre 1 y 1,5 SMMLV",691,1977
COLEGIO MAYOR DEL CAUCA,"Entre 1 y 1,5 SMMLV",786,1937
FUNDACION UNIVERSITARIA EMPRESARIAL DE LA CAMARA DE COMERCIO DE BOGOTA- UNIEMPRESARIAL,"Entre 2,5 y 4 SMMLV",470,1875
CORPORACION UNIVERSITARIA DE SANTA ROSA DE CABAL-UNISARC-,"Entre 1 y 1,5 SMMLV",632,1848
CORPORACION UNIVERSITARIA ANTONIO JOSE DE SUCRE - CORPOSUCRE,"Entre 1 y 1,5 SMMLV",624,1836
CORPORACION DE EDUCACION SUPERIOR DEL LITORAL,"Entre 1 y 1,5 SMMLV",830,1831
FUNDACION DE ESTUDIOS SUPERIORES COMFANORTE -F E S C -,"Entre 1 y 1,5 SMMLV",882,1792
"CORPORACION UNIVERSITARIA DE CIENCIAS EMPRESARIALES, EDUCACION Y SALUD -UNICORSALUD-","Entre 1,5 y 2,5 SMMLV",596,1693
INSTITUTO TECNICO NACIONAL DE COMERCIO SIMON RODRIGUEZ - INTENALCO,"Entre 1 y 1,5 SMMLV",893,1641
CORPORACION UNIVERSITARIA AUTONOMA DEL CAUCA,"Entre 1 y 1,5 SMMLV",461,1592
INSTITUTO SUPERIOR DE EDUCACION RURAL-ISER-,"Entre 2,5 y 4 SMMLV",518,1554
CORPORACION UNIVERSITARIA LASALLISTA,"Entre 2,5 y 4 SMMLV",417,1534
CORPORACION INSTITUTO SUPERIOR DE EDUCACION SOCIAL-ISES-,"Entre 1 y 1,5 SMMLV",659,1406
FUNDACION UNIVERSITARIA SANITAS,"Entre 2,5 y 4 SMMLV",456,1403
FUNDACION UNIVERSITARIA COLOMBO INTERNACIONAL - UNICOLOMBO,"Entre 1,5 y 2,5 SMMLV",471,1390
CORPORACION UNIVERSITARIA REGIONAL DEL CARIBE -IAFIC-,"Entre 1 y 1,5 SMMLV",597,1322
FUNDACION TECNOLOGICA AUTONOMA DEL PACIFICO,"Entre 1 y 1,5 SMMLV",538,1319
UNIVERSIDAD DEL PACIFICO,"Entre 1 y 1,5 SMMLV",535,1254
INSTITUTO NACIONAL DE FORMACION TECNICA PROFESIONAL - HUMBERTO VELASQUEZ GARCIA,"Entre 1 y 1,5 SMMLV",422,1191
FUNDACION UNIVERSITARIA COLOMBO GERMANA,"Entre 1 y 1,5 SMMLV",489,1185
CORPORACION COLEGIATURA COLOMBIANA,"Entre 1 y 1,5 SMMLV",271,1177
UNIVERSIDAD INTERNACIONAL DEL TROPICO AMERICANO - UNITROPICO,"Entre 1 y 1,5 SMMLV",343,1134
FUNDACION UNIVERSITARIA CAFAM -UNICAFAM,"Entre 1,5 y 2,5 SMMLV",334,1130
FUNDACION ESCUELA COLOMBIANA DE REHABILITACION,"Entre 1,5 y 2,5 SMMLV",337,1103
CORPORACION UNIVERSITARIA DE SABANETA - UNISABANETA,"Entre 2,5 y 4 SMMLV",252,1071
CORPORACION ESCUELA TECNOLOGICA DEL ORIENTE,"Entre 1 y 1,5 SMMLV",309,972
FUNDACION TECNOLOGICA AUTONOMA DE BOGOTA-FABA-,"Entre 1,5 y 2,5 SMMLV",322,963
INSTITUTO TECNOLOGICO DEL PUTUMAYO,"Entre 1 y 1,5 SMMLV",361,946
CORPORACION UNIVERSITARIA CENDA,"Entre 1 y 1,5 SMMLV",339,854
CORPORACION ACADEMIA TECNOLOGICA DE COLOMBIA -ATEC-,"Entre 1 y 1,5 SMMLV",289,852
LCI - FUNDACION TECNOLOGICA,"Entre 1 y 1,5 SMMLV",269,768
CORPORACION UNIVERSITARIA EMPRESARIAL ALEXANDER VON HUMBOLDT - CUE,"Entre 2,5 y 4 SMMLV",227,751
INSTITUCION UNIVERSITARIA LATINA - UNILATINA,"Entre 1,5 y 2,5 SMMLV",216,715
CORPORACION EDUCATIVA -ITAE-,"Entre 1 y 1,5 SMMLV",327,713
CORPORACION INTERAMERICANA DE EDUCACION SUPERIOR-CORPOCIDES,"Entre 1 y 1,5 SMMLV",385,697
CORPORACION UNIVERSITARIA EMPRESARIAL DE SALAMANCA,"Entre 1 y 1,5 SMMLV",287,691
CORPORACION ESCUELA SUPERIOR DE ADMINISTRACION Y ESTUDIOS TECNOLOGICOS- EAE,"Entre 1 y 1,5 SMMLV",302,679
CORPORACION INSTITUTO DE ADMINISTRACION Y FINANZAS - CIAF,"Entre 1 y 1,5 SMMLV",346,674
FUNDACION DE EDUCACION SUPERIOR UPARSISTEM,"Entre 1 y 1,5 SMMLV",285,653
CENTRO DE CONOCIMIENTO ALEJANDRIA - ALEJANDRIA,"Entre 1,5 y 2,5 SMMLV",152,650
COLEGIO INTEGRADO NACIONAL ORIENTE DE CALDAS - IES CINOC,"Entre 1 y 1,5 SMMLV",358,640
INSTITUCION UNIVERSITARIA BELLAS ARTES Y CIENCIAS DE BOLIVAR,"Entre 1 y 1,5 SMMLV",235,609
INSTITUTO DEPARTAMENTAL DE BELLAS ARTES,"Entre 1 y 1,5 SMMLV",206,608
INSTITUTO NACIONAL DE FORMACION TECNICA PROFESIONAL DE SAN JUAN DEL CESAR,"Entre 1 y 1,5 SMMLV",213,605
