OFICIO_C8,salario_promedio,salario_mediano,empleo_total,ocupados_muestra,periodo
2263,3348248.0,3000000.0,75843.10408830199,82.0,2026-04
2264,3320475.0,2600000.0,29112.263004123004,46.0,2026-04
2265,3136526.0,4000000.0,10771.58840936,7.0,2026-04
2266,2756326.0,2500000.0,2669.42622134,6.0,2026-04
2267,3776170.0,3800000.0,2481.6124208399997,5.0,2026-04
2269,3702003.0,3650000.0,16017.661724065,30.0,2026-04
2310,5200742.0,4600000.0,79526.06352114698,191.0,2026-04
2320,3686525.0,4000000.0,25411.052792083,50.0,2026-04
2330,4541262.0,4350000.0,237176.54363072602,371.0,2026-04
2341,3929492.0,3500000.0,185166.78380770198,281.0,2026-04
2342,2761099.0,2000000.0,62908.51945029,85.0,2026-04
2351,4295530.0,3501810.0,23813.185302630005,35.0,2026-04
2352,3200000.0,3200000.0,408.7840019,1.0,2026-04
2353,2386152.0,2450000.0,23994.854750881997,34.0,2026-04
2354,1472457.0,1800000.0,14121.489598637998,15.0,2026-04
2355,1931726.0,2500000.0,16114.756750134999,15.0,2026-04
2359,1553036.0,1000000.0,35230.459148066,71.0,2026-04
2411,4015263.0,3000000.0,304975.16937589296,363.0,2026-04
2412,5324640.0,3150000.0,58196.158341023,70.0,2026-04
2413,5792771.0,5200000.0,33599.16657763,15.0,2026-04
2421,5427631.0,3500000.0,50090.960312834,69.0,2026-04
2422,3722526.0,4000000.0,14399.889640535,22.0,2026-04
2423,6776123.0,4050000.0,21444.296452182003,24.0,2026-04
2424,3699204.0,1750000.0,5865.7194765799995,3.0,2026-04
2431,3408748.0,2500000.0,75727.256029395,83.0,2026-04
2432,5216637.0,5854839.0,3004.2519080620004,4.0,2026-04
2433,4088546.0,2900000.0,3396.83841706,8.0,2026-04
2434,18000000.0,18000000.0,3975.7435732,1.0,2026-04
2511,5879780.0,4075000.0,92380.30110687099,104.0,2026-04
2512,5432581.0,4400000.0,103844.719424076,114.0,2026-04
2513,4542024.0,3249095.0,4977.88835792,7.0,2026-04
2514,7610133.0,10900000.0,3942.1576601200004,2.0,2026-04
2519,5733812.0,5000000.0,437.800741962,3.0,2026-04
2521,6878290.0,3200000.0,36786.406871224,30.0,2026-04
2522,3720742.0,4025000.0,10150.0185883,2.0,2026-04
2529,6331369.0,6000000.0,6770.5138238,2.0,2026-04
2611,5786214.0,4000000.0,218941.709592384,363.0,2026-04
2612,16627361.0,17500000.0,6742.6961939640005,17.0,2026-04
2619,5738612.0,4250000.0,6405.82119674,6.0,2026-04
2621,1800573.0,1900000.0,6128.808231667,6.0,2026-04
2622,2871984.0,2950000.0,4616.14009408,4.0,2026-04
2631,6738632.0,4600000.0,18702.613953624998,5.0,2026-04
2632,5320241.0,5300000.0,277.04866033,2.0,2026-04
2633,3000000.0,3000000.0,875.02889873,1.0,2026-04
2634,3752928.0,3000000.0,82437.494900589,140.0,2026-04
2635,3154063.0,3000000.0,35095.161762547,65.0,2026-04
2636,2212635.0,2000000.0,20198.055867206003,26.0,2026-04
2641,4000000.0,4000000.0,250.37044379,1.0,2026-04
2642,4441866.0,3076500.0,38466.548112042,28.0,2026-04
2643,2320762.0,2500000.0,360.12790096599997,4.0,2026-04
2651,1252834.0,900000.0,7300.68538563,13.0,2026-04
2652,2491208.0,1900000.0,45462.69889727,46.0,2026-04
2653,2558941.0,2300000.0,290.926432872,3.0,2026-04
2654,2949042.0,2750000.0,8706.98790134,8.0,2026-04
2656,4142958.0,1625000.0,9143.813623279999,10.0,2026-04
2659,1588379.0,2000000.0,2255.3101155659997,8.0,2026-04
3111,2718542.0,2500000.0,18570.698404948,17.0,2026-04
3112,4072798.0,2800000.0,12961.447336378,13.0,2026-04
3113,2281206.0,2000000.0,20212.921084932,45.0,2026-04
3114,2225383.0,1800000.0,16912.699187615,17.0,2026-04
3115,2376708.0,2000000.0,52464.661224963995,49.0,2026-04
3117,9949836.0,10700000.0,604.4832094999999,2.0,2026-04
3118,2410016.0,2000000.0,17288.462272108,23.0,2026-04
3119,2039595.0,2000000.0,6830.681652079999,5.0,2026-04
3121,15150614.0,7240000.0,4436.34909652,5.0,2026-04
3122,2592325.0,2500000.0,50547.394093450006,53.0,2026-04
3123,2667912.0,1950000.0,167705.752315095,170.0,2026-04
3131,4594892.0,2000000.0,2852.92147888,3.0,2026-04
3132,2728707.0,2000000.0,4131.464465521,11.0,2026-04
3133,2581310.0,2450000.0,1222.44685545,2.0,2026-04
3134,3246953.0,4250000.0,1790.52302881,2.0,2026-04
3135,3040085.0,3000000.0,692.2868100600001,3.0,2026-04
3139,3392963.0,2825000.0,8463.96514971,4.0,2026-04
3142,3005994.0,2685000.0,14950.463610765,18.0,2026-04
3143,600000.0,600000.0,269.43850767,1.0,2026-04
3151,21500000.0,21500000.0,140.27185327,1.0,2026-04
3152,1034469.0,2830000.0,3857.385592701,2.0,2026-04
3153,28400104.0,17200000.0,5305.8135708,3.0,2026-04
3154,2679038.0,3125000.0,2976.1066609729996,2.0,2026-04
3155,3500000.0,3500000.0,328.48240246,1.0,2026-04
3211,5123751.0,2500000.0,6083.82701213,13.0,2026-04
3212,1579839.0,1750905.0,3816.982386699,6.0,2026-04
