uri,nombre,definicion,tipo_habilidad,nivel_reutilizacion
http://data.europa.eu/esco/skill/1ead478f-4e9d-4aa7-a728-823fc1e894f5,evaluar el tipo de residuos,"Identificar materiales residuales durante operaciones de recogida y clasificación a fin de determinar si deben reciclarse, eliminarse o tratarse.
	",skill/competence,sector-specific
http://data.europa.eu/esco/skill/1ee7d019-9226-4844-925f-a8a8c4db3444,coordinar las políticas medioambientales aeroportuarias,"Dirigir y coordinar las políticas y los reglamentos en materia de medio ambiente para atenuar el impacto de las actividades aeroportuarias, como el ruido, la reducción de la calidad del aire, la elevada densidad del tráfico local o la presencia de materiales peligrosos.",skill/competence,sector-specific
http://data.europa.eu/esco/skill/1f632076-fd9b-4b18-a9a2-b59a59181d3e,ley de planificación urbana,"Inversiones y acuerdos de desarrollo urbano. Avances legislativos en relación con la construcción desde el punto de vista de las cuestiones medioambientales, de sostenibilidad, sociales y financieras.",knowledge,cross-sector
http://data.europa.eu/esco/skill/1fe682ad-b8a2-44bb-a557-7eccf79b2014,manejar equipos de procesamiento de reciclaje,"Manejar equipos de procesamiento de reciclaje como granuladoras, trituradoras y empacadoras; procesar y clasificar los materiales que se van a reciclar.",skill/competence,cross-sector
http://data.europa.eu/esco/skill/203083ca-b051-4c28-8986-fc8731bacee5,finanzas sostenibles,"El proceso de integrar consideraciones ambientales, sociales y de gobernanza (ASG) a la hora de adoptar decisiones empresariales o de inversión, dando lugar a un incremento de las inversiones a largo plazo en actividades y proyectos económicos sostenibles.
	",knowledge,sector-specific
http://data.europa.eu/esco/skill/21331900-9d2a-4806-9a0c-a1885e16dc3d,realizar análisis forestales,"Elaborar informes de análisis de la situación sobre la biodiversidad y los recursos genéticos pertinentes para la silvicultura.
	",skill/competence,sector-specific
http://data.europa.eu/esco/skill/214c892e-e236-4e5f-9824-47316528cb42,gestionar hábitats para favorecer la caza,Desarrollar y aplicar un plan de gestión de hábitats,skill/competence,occupation-specific
http://data.europa.eu/esco/skill/215d64d0-a698-4508-b1b4-3d8a56b3ce9e,desarrollar estrategias forestales,Desarrollar políticas forestales al objeto de potenciar su gestión sostenible y mejorar la comunicación vinculada a las operaciones forestales. Estos planes tienen por objeto abordar cuestiones relacionadas con los cambios ambientales y sociales correlacionados.,skill/competence,sector-specific
http://data.europa.eu/esco/skill/21934d08-3535-4dc2-ae67-fde9fd21dc60,fijar parámetros para la calidad del aire en interiores,"Aplicar el conocimiento de los parámetros de calidad del aire en interiores fundamentales a fin de seleccionar los más apropiados para el sistema de gestión del edificio.
	",skill/competence,sector-specific
http://data.europa.eu/esco/skill/21b298f3-370d-4d9a-8601-ccfa7446446e,asistir a personas en zonas contaminadas,"Asistir a los trabajadores en las actividades de descontaminación, así como a las personas que corren riesgos de exposición en operaciones de seguridad, por ejemplo instruyéndoles sobre el uso de equipos de protección, la entrada y salida de zonas restringidas y el uso de equipos de descontaminación.",skill/competence,sector-specific
http://data.europa.eu/esco/skill/21c27eba-bd1f-42f5-a1d5-c250227030f7,consumo de energía eléctrica,"Los distintos factores que intervienen en el cálculo y la estimación del consumo de electricidad en una residencia o instalación, y los métodos en los que el consumo de electricidad puede reducirse o hacerse más eficiente.",knowledge,cross-sector
http://data.europa.eu/esco/skill/22c45bf7-e52b-475f-847b-c32a87f65a5d,economía circular,"La economía circular busca mantener los materiales y los productos en uso durante el máximo tiempo posible, extrayendo de ellos el máximo valor mientras se utilizan y reciclándolos al finalizar su vida útil. Mejora la eficiencia de los recursos y contribuye a reducir la demanda de materiales vírgenes.
   ",knowledge,cross-sector
http://data.europa.eu/esco/skill/23072dbb-e93b-48ab-8756-c64f74aaab26,aplicar la legislación forestal,"Aplicar leyes a través de las que se regulan las actividades llevadas a cabo en tierras forestales con el fin de proteger los recursos y evitar actuaciones perjudiciales, como la tala o la explotación forestales.
	",skill/competence,cross-sector
