dpto,rama_ciiu,empleo,periodo,ano,mes
20,31,4359.49306241,2022-02,2022,2
20,32,2239.46569149,2022-02,2022,2
20,33,2751.91739726,2022-02,2022,2
20,35,2739.7308306299997,2022-02,2022,2
20,36,235.65844501,2022-02,2022,2
20,38,1962.41594627,2022-02,2022,2
20,41,16945.49750873,2022-02,2022,2
20,42,1690.64634941,2022-02,2022,2
20,43,7746.73431876,2022-02,2022,2
20,45,18040.81301591,2022-02,2022,2
20,46,8010.61702659,2022-02,2022,2
20,47,66864.378937442,2022-02,2022,2
20,49,36404.330954264,2022-02,2022,2
20,51,159.74569875,2022-02,2022,2
20,52,8321.82129899,2022-02,2022,2
20,53,2169.62847747,2022-02,2022,2
20,55,1804.16041102,2022-02,2022,2
20,56,34978.103260712,2022-02,2022,2
20,60,577.43736834,2022-02,2022,2
20,61,1764.83230342,2022-02,2022,2
20,62,940.936332,2022-02,2022,2
20,64,6856.652022756,2022-02,2022,2
20,65,1382.001138358,2022-02,2022,2
20,66,269.94965025,2022-02,2022,2
20,68,3042.9673199199997,2022-02,2022,2
20,69,2692.374874253,2022-02,2022,2
20,70,224.75592118,2022-02,2022,2
20,71,526.26237971,2022-02,2022,2
20,73,962.9688542499999,2022-02,2022,2
20,74,316.093254333,2022-02,2022,2
20,75,1554.8842134,2022-02,2022,2
20,77,489.02037652,2022-02,2022,2
20,78,153.58986689,2022-02,2022,2
20,79,231.44430888,2022-02,2022,2
20,80,3435.5776761499997,2022-02,2022,2
20,81,8497.01022185,2022-02,2022,2
20,82,2504.55025649,2022-02,2022,2
20,84,15942.44216947,2022-02,2022,2
20,85,32882.864612901,2022-02,2022,2
20,86,17927.906430652,2022-02,2022,2
20,88,4207.01159549,2022-02,2022,2
20,90,1585.4936978199999,2022-02,2022,2
20,92,4721.11983892,2022-02,2022,2
20,93,2022.117641218,2022-02,2022,2
20,94,1700.30869055,2022-02,2022,2
20,95,6157.104247312,2022-02,2022,2
20,96,13891.477638158,2022-02,2022,2
20,97,16781.12833881,2022-02,2022,2
23,1,168453.37349582,2022-02,2022,2
23,3,12310.854997729999,2022-02,2022,2
23,6,143.41739187,2022-02,2022,2
23,7,325.46832344,2022-02,2022,2
23,8,3006.096026145,2022-02,2022,2
23,10,8598.80731243,2022-02,2022,2
23,11,583.7285299600001,2022-02,2022,2
23,13,3782.43767962,2022-02,2022,2
23,14,23970.85878223,2022-02,2022,2
23,15,107.38519873,2022-02,2022,2
23,16,55421.84035654,2022-02,2022,2
23,18,100.02991641,2022-02,2022,2
23,20,233.53431786,2022-02,2022,2
23,21,422.51381542,2022-02,2022,2
23,23,2723.7760048,2022-02,2022,2
23,25,3623.5004856230003,2022-02,2022,2
23,27,315.59743968,2022-02,2022,2
23,29,338.01105234,2022-02,2022,2
23,31,2215.39683293,2022-02,2022,2
23,32,8238.58072485,2022-02,2022,2
23,33,389.56227355,2022-02,2022,2
23,35,3000.1343940099996,2022-02,2022,2
23,36,1698.4596761550001,2022-02,2022,2
23,38,1885.8039614499999,2022-02,2022,2
23,41,39731.32742889,2022-02,2022,2
23,42,3666.655858321,2022-02,2022,2
23,43,4781.788368915,2022-02,2022,2
23,45,16932.842167874,2022-02,2022,2
23,46,21383.774452997,2022-02,2022,2
23,47,107217.380433088,2022-02,2022,2
23,49,52784.609897172,2022-02,2022,2
23,52,2114.744847996,2022-02,2022,2
23,53,1233.972254919,2022-02,2022,2
23,55,11407.23657796,2022-02,2022,2
23,56,62778.95099381,2022-02,2022,2
23,60,221.04650259,2022-02,2022,2
23,61,3961.745604872,2022-02,2022,2
23,62,1422.84131239,2022-02,2022,2
23,63,144.68347015,2022-02,2022,2
23,64,3247.92713262,2022-02,2022,2
23,65,1687.2867464699998,2022-02,2022,2
23,66,144.25014723,2022-02,2022,2
23,68,130.24728699,2022-02,2022,2
23,69,3977.72706758,2022-02,2022,2
23,70,1558.3398565,2022-02,2022,2
23,71,1311.000766888,2022-02,2022,2
23,73,1600.269514,2022-02,2022,2
23,74,136.06288122,2022-02,2022,2
23,75,561.444254878,2022-02,2022,2
23,77,885.3594304000001,2022-02,2022,2
23,78,913.8566931,2022-02,2022,2
23,80,1502.46207899,2022-02,2022,2
23,81,6862.50330047,2022-02,2022,2
23,82,392.349300886,2022-02,2022,2
23,84,12028.87671975,2022-02,2022,2
23,85,20033.055024313,2022-02,2022,2
23,86,17342.412207680998,2022-02,2022,2
23,87,184.52258401,2022-02,2022,2
23,88,5334.50498017,2022-02,2022,2
23,91,352.22431487,2022-02,2022,2
23,92,21537.809542435,2022-02,2022,2
23,93,1368.8083856599999,2022-02,2022,2
